Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Zip Code,2019,60622,"53,294","7,684","14,300","15,850","6,692","3,993","2,626","1,236",913,"2,437","1,708","49,758","45,610","3,275","25,366","27,928","12,207","2,335","3,150","34,207","1,395",ZIP_Code-60622-2019
Zip Code,2019,60623,"81,283","23,403","15,040","12,147","9,672","8,570","6,534","4,516","1,401","9,735","7,595","75,210","57,880","8,645","41,033","40,250","54,297",80,"24,101","2,366",439,ZIP_Code-60623-2019
Zip Code,2019,60624,"34,892","10,189","6,449","4,158","4,122","3,967","3,369","1,585","1,053","4,268","3,074","32,053","24,703","4,038","18,344","16,548","1,773",53,"31,436","1,109",521,ZIP_Code-60624-2019
Zip Code,2019,60625,"79,444","15,998","14,847","17,078","11,236","8,505","6,608","3,005","2,167","5,896","4,285","73,682","63,446","8,057","40,178","39,266","25,483","10,658","3,599","36,289","3,415",ZIP_Code-60625-2019
Zip Code,2019,60626,"50,544","8,949","12,083","9,436","6,774","5,958","3,966","1,959","1,419","3,615","2,397","47,693","41,595","4,957","25,646","24,898","9,906","2,712","13,410","22,592","1,924",ZIP_Code-60626-2019
Zip Code,2019,60628,"64,254","14,482","11,307","7,139","7,957","8,359","7,303","4,771","2,936","5,447","5,085","60,309","49,772","11,046","34,294","29,960","2,267",135,"59,478","1,333","1,041",ZIP_Code-60628-2019
Zip Code,2019,60629,"110,029","31,655","21,216","15,007","14,724","11,187","8,119","6,041","2,080","11,658","11,095","101,128","78,374","11,593","56,206","53,823","78,826",582,"21,116","8,463","1,042",ZIP_Code-60629-2019
Zip Code,2019,60630,"56,433","11,266","7,717","8,800","7,969","8,263","6,654","3,340","2,424","4,526","3,621","53,322","45,167","8,687","28,985","27,448","16,066","6,177",831,"31,403","1,956",ZIP_Code-60630-2019
Zip Code,2019,60631,"29,529","5,864","3,630","4,016","3,914","4,447","3,717","1,794","2,147","2,248","1,550","27,463","23,665","5,573","15,197","14,332","3,500","1,031",269,"23,763",966,ZIP_Code-60631-2019
Zip Code,2019,60632,"89,857","25,874","17,624","12,751","11,240","9,063","6,797","4,774","1,734","10,103","9,037","83,123","63,983","9,384","43,856","46,001","74,575","6,176","1,034","7,652",420,ZIP_Code-60632-2019
Zip Code,2019,60633,"12,689","2,781","1,909","1,787","1,480","1,943","1,286",975,528,805,"1,257","11,979","9,908","2,089","6,044","6,645","6,038",0,"2,955","3,654",42,ZIP_Code-60633-2019
Zip Code,2019,60634,"75,082","16,271","10,415","11,160","10,302","10,919","8,529","4,761","2,725","6,182","5,573","70,574","58,811","11,445","38,764","36,318","28,812","4,121","1,073","40,322",754,ZIP_Code-60634-2019
Zip Code,2019,60636,"30,024","6,693","4,672","3,304","3,432","3,969","3,019","3,746","1,189","2,461","2,373","28,165","23,331","6,321","16,097","13,927","2,823",24,"26,359",441,377,ZIP_Code-60636-2019
